Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
36336078,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,"Aciman, André",,"=""1786495252""","=""9781786495259""",0,4.11,Atlantic Books,Paperback,248,2017,2007,,2022/10/12,to-read,to-read (#70),to-read,,,,0,0
49977811,Swimming in the Dark,Tomasz Jedrowski,"Jedrowski, Tomasz",,"=""006289000X""","=""9780062890009""",5,4.26,William Morrow,Hardcover,191,2020,2020,2023/07/27,2022/10/12,,,read,,,,1,0
38474,Another Country,James Baldwin,"Baldwin, James",,"=""0141186372""","=""9780141186375""",0,4.31,PENGUIN,Paperback,426,2006,1962,,2023/03/20,to-read,to-read (#61),to-read,,,,0,0
57593396,Anything But Fine,Tobias Madden,"Madden, Tobias",,"=""1761042025""","=""9781761042027""",0,4.00,Penguin Random House Australia,Paperback,336,2021,2021,,2023/06/26,to-read,to-read (#69),to-read,,,,0,0
46263943,Real Life,Brandon  Taylor,"Taylor, Brandon",,"=""0525538887""","=""9780525538882""",0,3.82,Riverhead Books,Hardcover,329,2020,2020,,2023/06/25,to-read,to-read (#68),to-read,,,,0,0
35510008,This is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,"Kay, Adam",,"=""""","=""""",4,4.41,Picador,Kindle Edition,285,2017,2017,2023/06/19,2022/10/18,,,read,,,,1,0
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham   Verghese,"=""""","=""""",0,4.39,Random House,Kindle Edition,208,2016,2016,,2023/06/19,to-read,to-read (#67),to-read,,,,0,0
27213163,Another Brooklyn,Jacqueline Woodson,"Woodson, Jacqueline",,"=""0062359983""","=""9780062359988""",0,3.88,Amistad,Hardcover,192,2016,2016,,2023/05/25,to-read,to-read (#66),to-read,,,,0,0
22738563,We Should All Be Feminists,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""""","=""""",0,4.41,Vintage,Kindle Edition,65,2014,2012,,2023/05/03,to-read,to-read (#65),to-read,,,,0,0
58891551,Young Mungo,Douglas   Stuart,"Stuart, Douglas",,"=""0802159559""","=""9780802159557""",4,4.38,Grove Press,Hardcover,390,2022,2022,2023/04/17,2022/10/12,,,read,,,,1,0
58802411,The Town of Babylon,Alejandro  Varela,"Varela, Alejandro",,"=""""","=""""",0,4.01,Astra House,Hardcover,308,2022,2022,,2023/04/16,to-read,to-read (#64),to-read,,,,0,0
57500766,Love in the Big City,Sang Young Park,"Park, Sang Young",Anton Hur,"=""0802158781""","=""9780802158789""",0,3.67,Grove Press,Hardcover,240,2021,2019,,2023/04/03,to-read,to-read (#63),to-read,,,,0,0
52741293,Shuggie Bain,Douglas   Stuart,"Stuart, Douglas",,"=""0802148042""","=""9780802148049""",0,4.32,Grove Press,Hardcover,430,2020,2020,,2023/04/03,to-read,to-read (#62),to-read,,,,0,0
232431,Dancer from the Dance,Andrew Holleran,"Holleran, Andrew",Garth Richard Greenwell,"=""0060937068""","=""9780060937065""",0,3.99,Harper Perennial,Paperback,250,2001,1978,,2023/03/13,to-read,to-read (#60),to-read,,,,0,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",0,4.17,Vintage,Paperback,559,1992,1992,,2023/03/13,to-read,to-read (#59),to-read,,,,0,0
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,"=""0802158749""","=""9780802158741""",0,4.20,Grove Press,Hardcover,118,2021,2021,,2023/03/13,to-read,to-read (#58),to-read,,,,0,0
